date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:47	3164/3164	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:46%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22	praytimes.org/code/git/indexced7.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:47	14130/14130	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2021%20Apr%202025%2012:42:46%20GMT	http://praytimes.org/code/git/?a=blob&p=PrayTimes&h=24819242cc7a3492cf86bbcbe05ef5f9629e354c&n=PrayTimes.js	praytimes.org/code/git/index181a.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:47	16745/16745	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:46%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=24819242cc7a3492cf86bbcbe05ef5f9629e354c&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js/PrayTimes.js	praytimes.org/code/git/indexcc24.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:48	3852/3852	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:47%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=2881784a96de8e37bacd71bd3ab091f3deab4ef6&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js/examples	praytimes.org/code/git/indexdce7.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:49	4417/4417	---MC-	200	added ('OK')	application/x-zip	date:Mon,%2021%20Apr%202025%2012:42:48%20GMT	http://praytimes.org/code/git/?a=archive&p=PrayTimes&h=2881784a96de8e37bacd71bd3ab091f3deab4ef6&t=zip&n=examples	praytimes.org/code/git/index38cf.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:49	7475/7475	---MC-	200	added ('OK')	application/x-tar-gz	date:Mon,%2021%20Apr%202025%2012:42:48%20GMT	http://praytimes.org/code/git/?a=archive&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&t=targz	praytimes.org/code/git/indexbb62.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:51	2942/2942	---MC-	200	added ('OK')	application/x-tar-gz	date:Mon,%2021%20Apr%202025%2012:42:49%20GMT	http://praytimes.org/code/git/?a=archive&p=PrayTimes&h=2881784a96de8e37bacd71bd3ab091f3deab4ef6&t=targz&n=examples	praytimes.org/code/git/index0c04.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:51	9465/9465	---MC-	200	added ('OK')	application/x-zip	date:Mon,%2021%20Apr%202025%2012:42:49%20GMT	http://praytimes.org/code/git/?a=archive&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&t=zip	praytimes.org/code/git/indexf9b5.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/js)
15:42:51	16291/16291	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:50%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=10a1170d3af71ea51a1f453855ee28ad3e9ae998&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/python/praytimes.py	praytimes.org/code/git/index4b92.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4aa8aa6ee8887029074d2f011d33a0437764d94b&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/python)
15:42:52	2623/2623	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:50%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4aa8aa6ee8887029074d2f011d33a0437764d94b&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22	praytimes.org/code/git/index200b.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4aa8aa6ee8887029074d2f011d33a0437764d94b&hb=83794f8a92f653d9df2f6c6b9eabed8eb7cd1b22&f=v2/python)
